citynumber;cityfile;country;LU_k_fact;POP_l_fact;;;totpop;lostpop;totsurf(km2);totgreen(km2);%greensurf;totforest(km2);%forestsurf;totwater(km2);%watersurf
255;ro008l_arad;RO;8.064529115;4.021480892;123999.8003;3.71999401;185316.8552;6906.5084;519.7792;1.6476;0.316981;10.948799;2.106433;3.800599;0.731195
256;ro009l_sibiu;RO;8.100103531;4.033298639;123455.2122;3.703656365;183692.6631;3798.018;588.1384;1.1576;0.196824;154.248375;26.226544;0.756799;0.128677
257;ro011l_piatra_neamt;RO;10.03093266;4.651155686;99691.62725;2.990748818;119781.6579;5690.3152;146.7028;0.1128;0.07689;25.457597;17.353177;1.149992;0.783892
258;ro012l_calarasi;RO;12.19856469;5.299145234;81976.85756;2.459305727;80994.49143;5703.9376;245.7756;0.3964;0.161285;3.938801;1.6026;6.670402;2.714021
259;ro013l_giurgiu;RO;13.19238141;5.583186467;75801.32568;2.27403977;69251.0802;9762.68;110.9784;0.2904;0.261673;4.903795;4.418693;4.216999;3.799838
260;ro014l_alba_iulia;RO;11.13239436;4.985695168;89827.9353;2.694838059;97251.38276;5037.2352;258.8188;0.9112;0.352061;23.677398;9.148253;1.359602;0.52531
261;ro010l_targu_mures;RO;8.411523012;4.136024395;118884.5348;3.566536043;170342.7582;3689.3116;141.3564;0.4256;0.301083;11.684795;8.266194;1.065003;0.753417
262;se004l_jonkoping;SE;9.061050877;4.346293456;110362.4749;3.310874247;146796.5376;6907.6444;3473.308;9.6116;0.276728;1021.865031;29.420513;309.632922;8.91464
263;se003l_malmo;SE;4.690774911;2.802182366;213184.3925;6.395531776;547751.7361;16959.3532;1857.9088;34.4732;1.855484;83.210988;4.478744;17.422964;0.937773
264;se008l_orebro;SE;8.295817617;4.098007954;120542.6694;3.616280081;175127.585;14423.5916;3687.7876;11.1552;0.30249;1060.38984;28.754092;189.806335;5.146889
265;se005l_umea;SE;9.442671721;4.467486625;105902.2308;3.177066924;135170.888;5173.7048;9812.134;5.0232;0.051194;3973.607766;40.496876;228.487628;2.328623
266;se007l_linkoping;SE;8.197323136;4.065506909;121991.0431;3.659731293;179361.3399;9256.818;4231.9004;12.974;0.306576;1189.051182;28.097334;210.148076;4.965809
267;se002l_goteborg;SE;3.729511352;2.404923626;268131.6413;8.043949238;866501.0297;12335.2404;4221.3716;39.2764;0.930418;1191.538028;28.226324;149.70113;3.546268
268;se006l_uppsala;SE;7.036293;3.671943108;142120.2898;4.263608693;243436.1767;13996.388;6879.4344;10.0844;0.146588;2338.80265;33.997019;116.960918;1.700153
269;se001l_stockholm;SE;2.535864779;1.859590824;394342.7931;11.83028379;1874220.856;9785.3304;7162.3336;87.6004;1.223071;1980.224945;27.647762;368.558515;5.145788
270;si001l_ljubljana;SI;5.045225597;2.941623324;198207.1923;5.946215768;473491.0442;21192.3552;2555.4432;5.0904;0.199198;785.014409;30.719306;4.947121;0.193592
271;si002l_maribor;SI;6.519958146;3.49003572;153375.2177;4.601256531;283519.7612;35294.7196;2170.5952;1.8188;0.083793;463.173787;21.338561;11.499053;0.529765
272;sk005l_presov;SK;8.59105197;4.194667722;116400.1805;3.492005415;163297.7713;4765.8448;934.53;1.726;0.184692;211.130021;22.592107;0.688219;0.073643
273;sk003l_banska_bystrica;SK;10.47806322;4.788366049;95437.4849;2.863124547;109776.8896;2634.6584;808.8824;1.9396;0.239788;277.551408;34.312949;0.468379;0.057904
274;sk002l_kosice;SK;5.923155304;3.27367388;168828.9347;5.064868041;343531.6143;13003.4324;1776.148;4.052;0.228134;387.130014;21.796045;6.4202;0.361468
275;sk001l_bratislava;SK;4.49711533;2.724515922;222364.7665;6.670942994;595943.2423;19834.5396;2046.2284;7.4476;0.363967;401.959623;19.643927;18.731361;0.915409
276;sk004l_nitra;SK;8.639595015;4.210453966;115746.1661;3.472384984;161467.8935;10228.0932;870.1896;3.664;0.421058;48.410994;5.56327;2.107987;0.242245
277;sk007l_trnava;SK;9.819427909;4.585543215;101838.9268;3.055167804;124997.2844;14792.0584;740.8936;3.4988;0.472241;68.180615;9.202484;1.468775;0.198244
278;sk008l_trencin;SK;10.39153378;4.761967596;96232.18489;2.886965547;111612.7073;21166.6116;674.028;0.8196;0.121597;167.781397;24.892348;2.260599;0.335387
279;sk006l_zilina;SK;8.787525811;4.258379957;113797.6743;3.413930228;156077.2925;5540.154;813.8948;1.5224;0.187051;245.05883;30.109399;3.762178;0.462244
280;uk010l_sheffield;UK;3.064102588;2.109610124;326359.8301;9.790794904;1283708.293;113805.1376;1866.7992;32.2912;1.729763;76.365039;4.090694;9.605384;0.514538
281;uk014l_leicester;UK;3.930838835;2.490711879;254398.6263;7.63195879;780014.1369;29124.2412;1397.4596;17.7552;1.270534;23.734607;1.698411;3.304414;0.236459
282;uk012l_belfast;UK;4.317215026;2.651362564;231630.8069;6.948924206;646644.5029;28940.528;960.4552;14.7088;1.531441;16.293035;1.696387;7.439659;0.774597
284;uk027l_stoke_on_trent;UK;5.153763769;2.983662336;194032.9524;5.820988572;453757.6227;20660.4588;880.8664;21.3676;2.425748;32.058023;3.639374;1.551797;0.176167
285;uk028l_wolverhampton;UK;5.884212654;3.259309279;169946.2713;5.098388138;348093.7541;94695.7704;477.1348;5.8256;1.220955;19.435207;4.073316;1.89601;0.397374
286;uk029l_nottingham;UK;3.78656212;2.429387116;264091.7984;7.922753952;840587.2107;34720.4608;903.6708;13.758;1.522457;27.450993;3.037721;4.52259;0.500469
287;uk006l_liverpool;UK;3.007163408;2.083393727;332539.2951;9.976178853;1332781.31;93637.8488;645.9856;41.8368;6.476429;7.6992;1.191853;3.542016;0.548312
288;uk007l_edinburgh;UK;4.018865036;2.527758704;248826.4699;7.464794097;746218.6629;-1;1742.2952;25.2564;1.449605;80.15939;4.600793;7.012368;0.402479
289;uk015l_derry;UK;10.83256153;4.895767403;92314.26909;2.769428073;102709.5014;4318.9344;387.5156;3.5076;0.905151;8.488395;2.190465;4.317603;1.114175
290;uk022l_wrexham;UK;6.631364517;3.529679458;150798.5268;4.523955805;274073.5643;89502.396;943.4748;3.18;0.337052;42.178601;4.470559;2.716422;0.287917
291;uk024l_worcester;UK;6.563339491;3.505499525;152361.4619;4.570843858;279784.2174;52308.038;1274.866;8.0308;0.629933;44.639208;3.501482;3.632984;0.28497
292;uk025l_coventry;UK;4.329193026;2.65626439;230989.9314;6.929697941;643071.1846;73954.4152;814.6304;15.8408;1.944538;13.352595;1.639099;3.824188;0.469438
293;uk002l_birmingham;UK;2.254020131;1.719116045;443651.7609;13.30955283;2372233.143;35301.8736;1598.12;53.158;3.326283;30.728807;1.92281;7.548373;0.472328
294;uk023l_portsmouth;UK;5.055383212;2.945570271;197808.9411;5.934268233;471590.2159;9079.9512;198.7528;5.9976;3.017618;6.017993;3.027878;1.174606;0.590988
295;uk009l_cardiff;UK;3.787175567;2.429649493;264049.0208;7.921470624;840314.9161;13641.6456;1181.3992;22.7824;1.928425;87.806356;7.432404;4.406787;0.373014
296;uk026l_kingston_upon_hull;UK;4.591189453;2.76238035;217808.4808;6.534254425;571771.5233;36336.614;2495.698;10.136;0.406139;34.856013;1.396644;6.462397;0.258941
297;uk004l_glasgow;UK;2.666515283;1.922926649;375021.2896;11.25063869;1695058.908;72467.73;3376.5124;54.5316;1.615027;233.101778;6.903626;28.974023;0.858105
298;uk013l_newcastle_upon_tyne;UK;3.410980618;2.265963106;293170.8245;8.795124734;1035891.923;17913.9952;3391.3888;21.288;0.627707;307.539807;9.068256;15.766577;0.4649
299;uk016l_aberdeen;UK;5.572638187;3.143213621;179448.2194;5.383446582;388106.8042;50357.636;6527.7096;14.1004;0.216008;491.967718;7.536605;15.40502;0.235994
300;uk018l_exeter;UK;5.298787283;3.039375256;188722.4277;5.661672831;429259.5632;36138.7504;2452.5756;4.6444;0.189368;155.789198;6.352065;2.822818;0.115096
301;uk019l_lincoln;UK;8.385759945;4.127574784;119249.7766;3.577493298;171391.0337;6623.83;723.7892;5.8712;0.811175;15.580003;2.152561;2.853003;0.394176
302;uk011l_bristol;UK;3.421506269;2.270622272;292268.9369;8.768068108;1029528.254;47024.272;1335.7044;23.2628;1.741613;42.421211;3.175943;6.080616;0.455237
303;uk001l_london;UK;1;1;1000000;30;12052383.72;97628.106;9094.3108;301.264;3.312664;445.022652;4.893418;121.056472;1.331123
304;uk008l_manchester;UK;2.175337757;1.678872822;459698.7281;13.79096184;2546944.927;48895.5972;1276.8844;64.1868;5.026829;22.255038;1.742917;7.583369;0.593896
305;uk201l_leeds;UK;2.223482623;1.703553694;449744.9135;13.49234741;2437841.527;44665.8112;5123.0616;53.0876;1.036248;128.970827;2.517456;22.400232;0.437243
