dist;dist_km;indus_av;indus_stdev;count;10%quant;25%quant;50%quant;75%quant;90%quant
26300;26,3;0.083367;0.039686;302;0.034495;0.053659;0.077198;0.108663;0.139770
26400;26,4;0.082882;0.039392;302;0.034488;0.054175;0.075509;0.108597;0.137630
26500;26,5;0.082446;0.038936;302;0.035299;0.054968;0.075398;0.107535;0.136147
26600;26,6;0.082044;0.038513;302;0.034105;0.055268;0.076211;0.106393;0.136744
26700;26,7;0.081634;0.038046;302;0.033598;0.053989;0.075567;0.104593;0.134145
26800;26,8;0.081269;0.037556;302;0.034501;0.054096;0.075620;0.104598;0.133792
26900;26,9;0.080819;0.037102;302;0.034273;0.054413;0.075559;0.103238;0.134456
27000;27;0.080408;0.036779;302;0.033365;0.053656;0.075135;0.101469;0.132775
27100;27,1;0.080033;0.036576;302;0.032456;0.053829;0.075426;0.100975;0.130843
27200;27,2;0.079802;0.036365;302;0.031959;0.053744;0.076036;0.100682;0.130613
27300;27,3;0.079555;0.036190;302;0.031519;0.053237;0.076323;0.100996;0.129986
27400;27,4;0.079229;0.036079;302;0.031654;0.052667;0.075926;0.100642;0.128817
27500;27,5;0.078845;0.036060;302;0.031529;0.051778;0.075899;0.100882;0.128634
27600;27,6;0.078378;0.035950;302;0.031221;0.051816;0.075988;0.100704;0.129200
27700;27,7;0.077948;0.035768;302;0.032599;0.051407;0.075569;0.098692;0.128193
27800;27,8;0.077483;0.035627;302;0.031661;0.050207;0.074038;0.099313;0.127551
27900;27,9;0.076861;0.035519;302;0.032925;0.049251;0.072104;0.100077;0.126374
28000;28;0.076229;0.035464;302;0.033481;0.049027;0.070578;0.100387;0.123492
28100;28,1;0.075713;0.035505;302;0.032718;0.048857;0.070458;0.099722;0.123377
28200;28,2;0.075278;0.035560;302;0.031750;0.049362;0.070870;0.100307;0.123270
28300;28,3;0.074986;0.035563;302;0.031711;0.048260;0.071561;0.099988;0.120997
28400;28,4;0.074727;0.035571;302;0.031673;0.047216;0.070931;0.099469;0.121049
28500;28,5;0.074467;0.035610;302;0.031343;0.047029;0.069977;0.099541;0.120404
28600;28,6;0.074312;0.035631;302;0.031595;0.045798;0.069857;0.098181;0.119437
28700;28,7;0.074158;0.035598;302;0.031557;0.046375;0.070323;0.097700;0.120264
28800;28,8;0.073984;0.035561;302;0.031518;0.045604;0.070296;0.097504;0.121394
28900;28,9;0.073730;0.035429;302;0.031480;0.045703;0.069992;0.097498;0.123118
29000;29;0.073396;0.035213;302;0.031882;0.045494;0.068499;0.095346;0.121266
29100;29,1;0.073061;0.035045;302;0.032060;0.045478;0.068195;0.094651;0.120532
29200;29,2;0.072685;0.034884;302;0.032703;0.045189;0.067999;0.094517;0.118264
29300;29,3;0.072329;0.034707;302;0.032794;0.045067;0.068101;0.093356;0.117518
29400;29,4;0.071997;0.034603;302;0.031963;0.044123;0.068022;0.092935;0.117203
29500;29,5;0.071745;0.034530;302;0.031648;0.044057;0.067719;0.093183;0.116978
29600;29,6;0.071487;0.034481;302;0.030824;0.044421;0.067317;0.091980;0.117335
29700;29,7;0.071241;0.034419;302;0.029492;0.045059;0.067148;0.091986;0.117252
29800;29,8;0.070938;0.034357;302;0.029429;0.044029;0.066950;0.091993;0.119782
29900;29,9;0.070614;0.034243;302;0.028685;0.043271;0.067264;0.092203;0.119575
30000;30;0.070258;0.034022;302;0.029099;0.042979;0.066164;0.091223;0.118920
30100;30,1;0.069990;0.033809;302;0.029698;0.042687;0.065556;0.091075;0.118264
30200;30,2;0.069702;0.033659;302;0.029005;0.042770;0.064758;0.090926;0.117348
30300;30,3;0.069402;0.033610;302;0.028061;0.042662;0.065282;0.090778;0.116049
30400;30,4;0.069092;0.033640;302;0.027170;0.042861;0.065077;0.090629;0.116189
30500;30,5;0.068811;0.033694;302;0.027389;0.042225;0.064451;0.090827;0.115778
30600;30,6;0.068503;0.033702;302;0.027529;0.042000;0.064510;0.091139;0.117242
30700;30,7;0.068051;0.033735;302;0.027362;0.041707;0.064248;0.089745;0.115279
30800;30,8;0.067531;0.033773;302;0.026061;0.041119;0.063489;0.087986;0.115316
30900;30,9;0.066966;0.033687;302;0.024760;0.040491;0.062093;0.087445;0.113448
31000;31;0.066344;0.033585;302;0.023510;0.040569;0.061945;0.087490;0.111707
31100;31,1;0.065694;0.033525;302;0.024256;0.040589;0.060971;0.085496;0.111179
31200;31,2;0.065205;0.033499;302;0.025001;0.039710;0.060325;0.084819;0.110480
31300;31,3;0.064839;0.033412;302;0.025067;0.040470;0.060316;0.084320;0.109643
