X,Y,fid,country_2,fua_code,Full_code,fua_name,Pop2018_2
2017800.31206279,1015010.75190064,776,ES,ES072L1,ES072L1_ARRECIFE_UA2018_v013,Arrecife,112693
3110672.08142415,1674509.84375202,394,ES,ES501L3,ES501L3_GRANADA_UA2018_v013,Granada,565561
3381609.38232405,1752932.50961902,389,ES,ES505L1,ES505L1_ELCHE_ELX_UA2018_v013,Elche/Elx,261896
3347179.64915838,1683579.45000601,391,ES,ES506L1,ES506L1_CARTAGENA_UA2018_v013,Cartagena,233360
2877986.33212535,1665060.24598397,410,ES,ES508L1,ES508L1_JEREZ_DE_LA_FRONTERA_UA2018_v013,Jerez de la Frontera,220975
3350847.41444219,2323602.23313602,375,ES,ES510L1,ES510L1_DONOSTIA_SAN_SEBASTIAN_UA2018_v013,Donostia-San Sebastián,333766
3204945.6861343,1620906.90231407,393,ES,ES514L1,ES514L1_ALMERIA_UA2018_v013,Almería,222648
3195107.95137461,2240095.30495638,401,ES,ES515L1,ES515L1_BURGOS_UA2018_v013,Burgos,199922
3007253.14781482,2121793.19618717,404,ES,ES516L1,ES516L1_SALAMANCA_UA2018_v013,Salamanca,200336
3292219.6499887,1847852.75692118,398,ES,ES519L1,ES519L1_ALBACETE_UA2018_v013,Albacete,192005
3461933.71448575,1933780.06229935,383,ES,ES520L1,ES520L1_CASTELLON_CASTELLO_UA2018_v013,Castellón/Castelló,229383
2819098.91624403,1742859.11565847,409,ES,ES521L1,ES521L1_HUELVA_UA2018_v013,Huelva,230097
2861211.71246158,1651392.19528109,411,ES,ES522L1,ES522L1_CADIZ_UA2018_v013,Cádiz,253810
3049094.19710451,2298034.14756697,373,ES,ES523L1,ES523L1_LEON_UA2018_v013,León,209851
3585147.54515162,2044518.4956388,381,ES,ES525L1,ES525L1_TARRAGONA_UA2018_v013,Tarragona,214497
3104180.15366282,1741859.89357783,395,ES,ES527L1,ES527L1_JAEN_UA2018_v013,Jaén,157922
3538964.49567577,2105550.37356251,380,ES,ES528L1,ES528L1_LLEIDA_UA2018_v013,Lleida,185707
2859464.48046648,2311272.16867617,368,ES,ES529L1,ES529L1_OURENSE_UA2018_v013,Ourense,148098
2928013.97168763,1592561.94513856,412,ES,ES532L1,ES532L1_ALGECIRAS_UA2018_v013,Algeciras,143605
2985139.60059176,1623642.05974879,413,ES,ES533L1,ES533L1_MARBELLA_UA2018_v013,Marbella,315732
3407172.88689746,1797546.44243655,387,ES,ES537L1,ES537L1_ALCOY_UA2018_v013,Alcoy,70669
3080808.84538447,2071866.85460873,405,ES,ES538L1,ES538L1_AVILA_UA2018_v013,Ávila,60723
3285927.18417391,1969972.53781766,399,ES,ES542L1,ES542L1_CUENCA_UA2018_v013,Cuenca,60103
3575414.14129334,1799717.36010805,385,ES,ES543L1,ES543L1_EIVISSA_UA2018_v013,Eivissa,134672
3123456.32682096,1775301.00480297,396,ES,ES544L1,ES544L1_LINARES_UA2018_v013,Linares,60122
3285584.34865946,1701426.43541626,392,ES,ES545L1,ES545L1_LORCA_UA2018_v013,Lorca,108129
2906717.30682431,1911325.45281944,408,ES,ES546L1,ES546L1_MERIDA_UA2018_v013,Mérida,85158
3437320.81359641,1902953.59942025,384,ES,ES547L1,ES547L1_SAGUNTO_UA2018_v013,Sagunto,78499
1719817.68651191,1051810.36442864,777,ES,ES550L1,ES550L1_PUERTO_DE_LA_CRUZ_UA2018_v013,Puerto de la Cruz,108754
3620828.02540636,2091866.95568592,379,ES,ES552L1,ES552L1_IGUALADA_UA2018_v013,Igualada,75315
5146128.64003677,4206120.47983737,130,FI,FI001L3,FI001L3_HELSINKI_UA2018_v013,Helsinki,1478218
5050974.2700319,4337830.33984833,131,FI,FI002L3,FI002L3_TAMPERE_UA2018_v013,Tampere,439062
4994263.60002984,4208331.23983882,133,FI,FI003L4,FI003L4_TURKU_UA2018_v013,Turku,354592
5048289.35003118,4737400.39987299,132,FI,FI004L4,FI004L4_OULU_UA2018_v013,Oulu,258368
5163173.63357924,4302656.60933637,308,FI,FI007L2,FI007L2_LAHTI_UA2018_v013,Lahti,172646
5213072.81353192,4534340.03170162,307,FI,FI008L2,FI008L2_KUOPIO_UA2018_v013,Kuopio,162306
5134920.80115703,4440224.19646982,306,FI,FI009L2,FI009L2_JYVASKYLA_UA2018_v013,Jyväskylä,184283
3760786.10996151,2889470.17962275,37,FR,FR001L1,FR001L1_PARIS_UA2018_v013,Paris,12019500
3919055.80996759,2531160.99951267,38,FR,FR003L2,FR003L2_LYON_UA2018_v013,Lyon,2021839
3630188.79993783,2316738.91942326,28,FR,FR004L2,FR004L2_TOULOUSE_UA2018_v013,Toulouse,1329721
4155023.69998844,2832653.36961262,18,FR,FR006L2,FR006L2_STRASBOURG_UA2018_v013,Strasbourg,783055
3486142.8499293,2473309.43947797,31,FR,FR007L2,FR007L2_BORDEAUX_UA2018_v013,Bordeaux,1226848
3449239.10993469,2746535.44957045,19,FR,FR008L2,FR008L2_NANTES_UA2018_v013,Nantes,946471
3831601.7099693,3080820.69967383,8,FR,FR009L2,FR009L2_LILLE_UA2018_v013,Lille,1380710
3825891.99995549,2298346.99942222,9,FR,FR010L2,FR010L2_MONTPELLIER_UA2018_v013,Montpellier,695607
3881666.32996397,2497393.54949979,20,FR,FR011L2,FR011L2_SAINT_ETIENNE_UA2018_v013,Saint-Etienne,532235
3606683.99995249,2979435.99964321,10,FR,FR012L2,FR012L2_LE_HAVRE_UA2018_v013,Le Havre,295952
3454963.86993807,2846229.84960107,27,FR,FR013L2,FR013L2_RENNES_UA2018_v013,Rennes,727893
3768492.94996402,3004741.57965377,21,FR,FR014L2,FR014L2_AMIENS_UA2018_v013,Amiens,312361
4040085.46998055,2849448.97961635,16,FR,FR016L2,FR016L2_NANCY_UA2018_v013,Nancy,476431
4041955.2799811,2896859.98962965,11,FR,FR017L2,FR017L2_METZ_UA2018_v013,Metz,372423
3886997.52997081,2922610.54963445,22,FR,FR018L2,FR018L2_REIMS_UA2018_v013,Reims,324472
3717106.14995639,2787450.23959199,23,FR,FR019L2,FR019L2_ORLEANS_UA2018_v013,Orléans,431322
3946194.50997212,2702355.13957068,29,FR,FR020L2,FR020L2_DIJON_UA2018_v013,Dijon,408020
3582285.77994282,2655564.339546,30,FR,FR021L2,FR021L2_POITIERS_UA2018_v013,Poitiers,271115
3783479.26995667,2543538.62951387,17,FR,FR022L2,FR022L2_CLERMONT_FERRAND_UA2018_v013,Clermont-Ferrand,486522
3567447.34994905,2949691.28963412,33,FR,FR023L2,FR023L2_CAEN_UA2018_v013,Caen,440761
3642760.06994542,2563619.14951667,35,FR,FR024L2,FR024L2_LIMOGES_UA2018_v013,Limoges,308521
4019700.11997749,2688361.55956738,32,FR,FR025L2,FR025L2_BESANCON_UA2018_v013,Besançon,273129
3985560.94997214,2462311.88948903,24,FR,FR026L2,FR026L2_GRENOBLE_UA2018_v013,Grenoble,664487
4216016.54998978,2091545.37934164,34,FR,FR027L2,FR027L2_AJACCIO_UA2018_v013,Ajaccio,102416
3989214.86996946,2232635.1593991,12,FR,FR032L2,FR032L2_TOULON_UA2018_v013,Toulon,556954
3860803.96434383,3047664.5573473,359,FR,FR034L2,FR034L2_VALENCIENNES_UA2018_v013,Valenciennes,357371
3619665.66994797,2741619.06957504,25,FR,FR035L2,FR035L2_TOURS_UA2018_v013,Tours,466557
3528371.51314137,2763022.65767736,358,FR,FR036L2,FR036L2_ANGERS_UA2018_v013,Angers,416261
3255695.33660622,2913732.58371433,357,FR,FR037L2,FR037L2_BREST_UA2018_v013,Brest,365223
3591652.91558585,2814476.39168056,356,FR,FR038L2,FR038L2_LE_MANS_UA2018_v013,Le Mans,357710
3903434.11276669,2329988.81749511,355,FR,FR039L1,FR039L1_AVIGNON_UA2018_v013,Avignon,324136
4121399.66274659,2740579.93335584,354,FR,FR040L2,FR040L2_MULHOUSE_UA2018_v013,Mulhouse,407828
3787399.90980769,3130787.39374279,353,FR,FR042L2,FR042L2_DUNKERQUE_UA2018_v013,Dunkerque,268539
3737977.81559745,2204558.2603193,352,FR,FR043L2,FR043L2_PERPIGNAN_UA2018_v013,Perpignan,399051
3866817.33529915,2320107.7424216,351,FR,FR044L2,FR044L2_NIMES_UA2018_v013,Nîmes,347131
3480157.02596046,2301142.58950958,350,FR,FR045L2,FR045L2_PAU_UA2018_v013,Pau,270574
3394549.24606247,2336019.18579799,349,FR,FR046L2,FR046L2_BAYONNE_UA2018_v013,Bayonne,255862
4030099.61179474,2571828.94510753,348,FR,FR047L0,FR047L0_ANNEMASSE_UA2018_v013,Annemasse,89682
4020374.6130218,2539643.73007903,347,FR,FR048L2,FR048L2_ANNECY_UA2018_v013,Annecy,283570
3324352.49622738,2827589.3655607,346,FR,FR049L2,FR049L2_LORIENT_UA2018_v013,Lorient,238088
4079733.79955775,2715953.43917461,345,FR,FR050L2,FR050L2_MONTBELIARD_UA2018_v013,Montbéliard,190507
3881683.05060488,2815856.00504308,344,FR,FR051L2,FR051L2_TROYES_UA2018_v013,Troyes,207792
3400900.85295559,2760538.6092657,343,FR,FR052L2,FR052L2_SAINT_NAZAIRE_UA2018_v013,Saint-Nazaire,232923
3462324.53411465,2625299.3137203,342,FR,FR053L2,FR053L2_LA_ROCHELLE_UA2018_v013,La Rochelle,220849
3555112.4742053,2554720.21780406,341,FR,FR056L2,FR056L2_ANGOULEME_UA2018_v013,Angoulême,201718
3730274.0678194,3102041.27037914,340,FR,FR057L2,FR057L2_BOULOGNE_SUR_MER_UA2018_v013,Boulogne-sur-Mer,159161
4002268.75036115,2503620.44144423,339,FR,FR058L2,FR058L2_CHAMBERY_UA2018_v013,Chambéry,230364
3927976.3100302,2643340.20211596,338,FR,FR059L2,FR059L2_CHALON_SUR_SAONE_UA2018_v013,Chalon-sur-Saône,164081
3692641.46809162,2850797.45451731,337,FR,FR060L2,FR060L2_CHARTRES_UA2018_v013,Chartres,161382
3517250.8556183,2635682.80670094,336,FR,FR061L2,FR061L2_NIORT_UA2018_v013,Niort,177586
3749980.09834214,3125317.20044749,335,FR,FR062L2,FR062L2_CALAIS_UA2018_v013,Calais,142170
3770058.91270652,2273209.33075848,334,FR,FR063L2,FR063L2_BEZIERS_UA2018_v013,Béziers,183995
3807205.06687122,3045225.02384493,333,FR,FR064L2,FR064L2_ARRAS_UA2018_v013,Arras,162821
3744442.78507785,2692567.59478408,332,FR,FR065L2,FR065L2_BOURGES_UA2018_v013,Bourges,170499
3382997.44477875,2903730.12975184,331,FR,FR066L2,FR066L2_SAINT_BRIEUC_UA2018_v013,Saint-Brieuc,204231
3275319.85622688,2865002.03005575,330,FR,FR067L2,FR067L2_QUIMPER_UA2018_v013,Quimper,182570
3367288.75513951,2809768.63794127,329,FR,FR068L2,FR068L2_VANNES_UA2018_v013,Vannes,198120
3485231.93855601,3014088.39422613,328,FR,FR069L2,FR069L2_CHERBOURG_UA2018_v013,Cherbourg,147273
3515460.80145715,2289442.94021795,327,FR,FR073L2,FR073L2_TARBES_UA2018_v013,Tarbes,136173
3801323.68404453,2948153.2419863,326,FR,FR074L2,FR074L2_COMPIEGNE_UA2018_v013,Compiègne,153745
4085183.02908666,2729900.85157897,325,FR,FR076L2,FR076L2_BELFORT_UA2018_v013,Belfort,140223
3862126.95212787,2565118.60625575,324,FR,FR077L2,FR077L2_ROANNE_UA2018_v013,Roanne,126628
3838895.88113668,2992548.99759012,323,FR,FR079L2,FR079L2_SAINT_QUENTIN_UA2018_v013,Saint-Quentin,120237
3747779.83012924,2954987.08814639,322,FR,FR082L2,FR082L2_BEAUVAIS_UA2018_v013,Beauvais,148478
