X;Y;citynumber;cityname;cityfile;country;field_4;field_5
20.8541266881867;39.6664903784985;139;Ioannina;gr007l_ioannina;Grèce;5253987.84;1908350.41
24.4079858963789;40.9378350397862;140;Kavala;gr008l_kavala;Grèce;5531466.77;2097786.38
22.1116853829489;37.041050184712;141;Kalamata;gr009l_kalamata;Grèce;5402385.44;1637721.49
23.7273752807277;37.9819120743789;142;Athina;gr001l_athina;Grèce;5528442.02;1764535.5
19.0548327371036;47.4952308989549;143;Budapest;hu001l_budapest;Hongrie;5001804.64;2750785.84
20.77831289874;48.1041452220738;144;Miskolc;hu002l_miskolc;Hongrie;5120852.5;2835246.92
18.2287004273544;46.0758204134033;145;Pecs;hu004l_pecs;Hongrie;4956846.95;2586645.76
21.6254819411773;47.5293095176578;146;Debrecen;hu005l_debrecen;Hongrie;5192884.86;2781549.01
20.1480213047834;46.2545167849201;147;Szeged;hu006l_szeged;Hongrie;5101607.34;2624669.51
17.635246395127;47.6833553093218;148;Gyor;hu007l_gyor;Hongrie;4893454.21;2759551.16
18.4095846811683;47.1910984644786;149;Szekesfehervar;hu009l_szekesfehervar;Hongrie;4957251.92;2711441.11
21.7151927081877;47.9556635150571;150;Nyiregyhaza;hu003l_nyiregyhaza;Hongrie;5192274.74;2829512.61
19.6918559074406;46.9068581214795;151;Kecskemet;hu008l_kecskemet;Hongrie;5057657.04467;2691938.604775
-9.04339446444146;53.2761302061437;152;Galway;ie004c_galway;Irlande;3067437.19;3517994
-7.10576334824452;52.2601537326163;153;Waterford;ie005c_waterford;Irlande;3165444.51;3375668.04
-8.46543900907267;51.8971319760719;154;Cork;ie002l_cork;Irlande;3065629.03;3358890.24
-6.26717493304237;53.3438639677703;155;Dublin;ie001l_dublin;Irlande;3247982.46;3480633.5
-8.62494994518086;52.6676932365982;156;Limerick;ie003l_limerick;Irlande;3076899;3445014
9.19045674940231;45.4667144504902;157;Milano;it002l_milano;Italie;4257596.67;2484162.32
14.2505394496671;40.8402624894335;158;Napoli;it003l_napoli;Italie;4680898.17;1981412.9
7.68123133065642;45.0728608403785;159;Torino;it004l_torino;Italie;4138127.8;2442956.12
13.3627064061293;38.1153344883525;160;Palermo;it005l_palermo;Italie;4617882.55;1677045.01
11.2571146589814;43.7691421503946;161;Firenze;it007l_firenze;Italie;4422458.84;2296393.28
13.7684186839494;45.6494087949666;162;Trieste;it015l_trieste;Italie;4615025.35;2511530.83
13.5188689780835;43.6167782083577;163;Ancona;it017l_ancona;Italie;4605643;2285331
14.2146298601921;42.4483294072881;164;Pescara;it019l_pescara;Italie;4668662.35;2158950.26
15.644475998393;38.109139808952;165;Reggio di Calabria;it025l_reggio_di_calabria;Italie;4819050.38;1688215.47
10.217183264141;45.5321484285211;166;Brescia;it029l_brescia;Italie;4337989.9;2491104.52
15.0873073883705;37.5020407642115;167;Catania;it010l_catania;Italie;4773959.32;1617980.97
10.0244964724554;45.1335275660664;168;Cremona;it013l_cremona;Italie;4322930.19;2446847.42
11.121361742185;46.0690923073381;169;Trento;it014l_trento;Italie;4407858.97;2551333.88
14.3323333895939;41.074844465363;170;Caserta;it021l_caserta;Italie;4686447.91;2007710.5
17.2325090233596;40.4735628913554;171;taranto;it022l_taranto;Italie;4936250.14;1960138.64
16.595324767283;38.9049202558819;172;Catanzaro;it024l_catanzaro;Italie;4895897.06;1782450.42
9.11038672405064;39.2152893760236;173;Cagliari;it027l_cagliari;Italie;4243710.45;1792283.52
10.9262211000534;44.6458755769858;174;Modena;it030l_modena;Italie;4394617.16;2393207.43
15.5431403525076;41.4622008150184;175;Foggia;it031l_foggia;Italie;4785500.04;2057127.96
16.867766002744;41.1256849796144;176;Bari;it008l_bari;Italie;4899309.42;2029131.04
12.3341529869011;45.4365376934968;177;Venezia;it011l_venezia;Italie;4503880.78;2483331.79
10.9938375936414;45.438133552236;178;Verona;it012l_verona;Italie;4398876.75;2481165.37
12.3886390636252;43.1116857930586;179;Perugia;it016l_perugia;Italie;4515934.76;2225787.53
11.8765746926285;45.407000150808;180;Padova;it028l_padova;Italie;4468118.02;2479042.53
14.7561448441159;40.6785743637264;181;Salerno;it032l_salerno;Italie;4724680.23;1966109.08
11.3423112494544;44.4938873551988;182;Bologna;it009l_bologna;Italie;4427972.19;2376854.77
13.3870962885043;42.3552315241135;183;Laquila;it018l_laquila;Italie;4600890.22;2145207.03
15.8052792094433;40.6394206823018;184;Potenza;it023l_potenza;Italie;4813851.77;1967992.16
14.659180387505;41.5576933702764;185;Campobasso;it020l_campobasso;Italie;4710940;2062678
8.93261384288998;44.4113360436664;186;Genova;it006l_genova;Italie;4235811.55;2367348.04
8.55934497488748;40.7268030255993;187;Sassari;it026l_sassari;Italie;4198734.57;1959937.21
12.4834227971987;41.8930725536655;188;Roma;it001l_roma;Italie;4527819.53;2091165.48
25.2869387439241;54.6780722173609;189;Vilnius;lt001l_vilnius;Lituanie;5298852.56;3612109.54
23.8859057667069;54.8968662762306;190;Kaunas;lt002l_kaunas;Lituanie;5205835.61;3617896.61
24.362013774439;55.7264298328337;191;Panevezys;lt003l_panevezys;Lituanie;5216967.67;3714536.31
6.13048574600217;49.6102733266718;192;Luxembourg;lu001l_luxembourg;Luxembourg;4041436.58;2951531.34
21.0073253387111;56.5043082023068;193;Liepaja;lv002l_liepaja;Lettonie;4996288.39;3763155.12
24.1062473112057;56.9478809264205;194;riga;lv001l_riga;Lettonie;5173870.59;3844919.91
14.508943961783;35.8981394315229;195;Valletta;mt001l_valletta;Malte;4731726.68;1438503.14
14.238894700114;36.0449157829372;196;Gozo;mt002l_gozo;Malte;4706373.27;1453224.77
4.31605438753494;52.0774299213289;197;Sgravenhage;nl001l_sgravenhage;Pays-Bas;3931767.87;3233806.99
4.89998231499745;52.3677493733165;198;Amsterdam;nl002l_amsterdam;Pays-Bas;3973942.76;3263083.61
4.47986029368951;51.9228628237549;199;Rotterdam;nl003l_rotterdam;Pays-Bas;3941656.24;3215787.81
5.11972366044466;52.0918388133432;200;Utrecht;nl004l_utrecht;Pays-Bas;3986807;3231416
5.48089674036578;51.4350533360812;201;Eindhoven;nl005l_eindhoven;Pays-Bas;4006976.38;3156862.89
5.08702447564912;51.5552155840659;202;Tilburg;nl006l_tilburg;Pays-Bas;3980550.18;3171974.12
6.56700492238867;53.2185321486832;203;Groningen;nl007l_groningen;Pays-Bas;4091764.46;3351014.87
4.79666529139698;51.5937206969552;204;Breda;nl012l_breda;Pays-Bas;3960772.52;3177643.49
5.86552441348766;51.8471291491894;205;Nijmegen;nl013l_nijmegen;Pays-Bas;4036263.14;3201064.8
5.96389766504545;52.2157845584778;206;Apeldoorn;nl014l_apeldoorn;Pays-Bas;4045304.89;3241651.38
6.89678752258681;52.219490679048;207;Enschede;nl008l_enschede;Pays-Bas;4108994.35;3238939.67
5.91118366193195;51.9790022856421;208;Arnhem;nl009l_arnhem;Pays-Bas;4040227.21;3215540.93
5.79604977703112;53.2022286889816;209;Leeuwarden;nl015l_leeuwarden;Pays-Bas;4040239.07;3351911.43
5.97754418850045;50.8867645791198;210;Heerlen;nl010l_heerlen;Pays-Bas;4038103.233547;3093924.407907
21.0007208468897;52.2430810898677;211;Warszawa;pl001l_warszawa;Pologne;5069109.65;3293717.88
19.4575489346082;51.7644668953021;212;Lodz;pl002l_lodz;Pologne;4971814.38;3226074.15
19.936945038085;50.0587939513146;213;Krakow;pl003l_krakow;Pologne;5030139.26;3042182.61
16.9352343343879;52.4298125969911;214;Poznan;pl005l_poznan;Pologne;4791904.41;3280286.87
22.5656175164248;51.2476513801661;215;Lublin;pl009l_lublin;Pologne;5193389.92;3201592.38
18.6226280340886;53.0269324109727;216;Torun;pl013l_torun;Pologne;4897999.56;3358582.44
20.4798340684102;53.7787451007835;217;Olsztyn;pl014l_olsztyn;Pologne;5009173.5;3457843.89
18.6410587353196;54.3510008466405;218;Gdansk;pl006l_gdansk;Pologne;4881456.38;3505167.61
20.6307535065391;50.8718359942364;219;Kielce;pl012l_kielce;Pologne;5066292.69;3138775.77
21.1580371969403;51.4015416995047;220;Radom;pl025l_radom;Pologne;5094003.33;3202641.91
17.9990057347432;53.1222080885452;221;Bydgoszcz;pl008l_bydgoszcz;Pologne;4855295.67;3364349.36
19.020233519219;50.2585557136377;222;Katowice;pl010l_katowice;Pologne;4962421.93;3055797.5
19.6845792153649;52.5453455088378;223;Plock;pl026l_plock;Pologne;4975774.26;3314362.24
16.1814183983026;54.1910338149841;224;Koszalin;pl028l_koszalin;Pologne;4724013.59;3471048.55
15.2424661562615;52.7317535940393;225;Grozow Wielkopolski;pl017l_gorzow_wielkopolski;Pologne;4674799.07;3304187.3
15.5142997474869;51.9403210008246;226;Zielona Gora;pl018l_zielona_gora;Pologne;4699796.33;3217695.23
